Author;Title;Co-Authors;Pagination;Published;Venue
Hwee Kim;A General Architecture of Oritatami Systems for Simulating Arbitrary Finite Automata.;Yo-Sub Han, Yusei Masuda, Shinnosuke Seki;146-157;2019;CIAA 2019
Yusei Masuda;A General Architecture of Oritatami Systems for Simulating Arbitrary Finite Automata.;Yo-Sub Han, Hwee Kim, Shinnosuke Seki;146-157;2019;CIAA 2019
Shinnosuke Seki;A General Architecture of Oritatami Systems for Simulating Arbitrary Finite Automata.;Yo-Sub Han, Hwee Kim, Yusei Masuda;146-157;2019;CIAA 2019
Michal Hospodár;Descriptional Complexity of Power and Positive Closure on Convex Languages.;nan;158-170;2019;CIAA 2019
Stavros Konstantinidis;Partitioning a Symmetric Rational Relation into Two Asymmetric Rational Relations.;Mitja Mastnak, Juraj Sebej;171-183;2019;CIAA 2019
Mitja Mastnak;Partitioning a Symmetric Rational Relation into Two Asymmetric Rational Relations.;Stavros Konstantinidis, Juraj Sebej;171-183;2019;CIAA 2019
Juraj Sebej;Partitioning a Symmetric Rational Relation into Two Asymmetric Rational Relations.;Stavros Konstantinidis, Mitja Mastnak;171-183;2019;CIAA 2019
Stavros Konstantinidis;Partial Derivatives of Regular Expressions over Alphabet-Invariant and User-Defined Labels.;Nelma Moreira, João Pires, Rogério Reis;184-196;2019;CIAA 2019
Nelma Moreira;Partial Derivatives of Regular Expressions over Alphabet-Invariant and User-Defined Labels.;Stavros Konstantinidis, João Pires, Rogério Reis;184-196;2019;CIAA 2019
João Pires;Partial Derivatives of Regular Expressions over Alphabet-Invariant and User-Defined Labels.;Stavros Konstantinidis, Nelma Moreira, Rogério Reis;184-196;2019;CIAA 2019
Rogério Reis;Partial Derivatives of Regular Expressions over Alphabet-Invariant and User-Defined Labels.;Stavros Konstantinidis, Nelma Moreira, João Pires;184-196;2019;CIAA 2019
Martin Kutrib;Input-Driven Multi-counter Automata.;Andreas Malcher, Matthias Wendlandt;197-208;2019;CIAA 2019
Andreas Malcher;Input-Driven Multi-counter Automata.;Martin Kutrib, Matthias Wendlandt;197-208;2019;CIAA 2019
Matthias Wendlandt;Input-Driven Multi-counter Automata.;Martin Kutrib, Andreas Malcher;197-208;2019;CIAA 2019
Frantisek Mráz;Two-Dimensional Pattern Matching Against Basic Picture Languages.;Daniel Prusa, Michael Wehar;209-221;2019;CIAA 2019
Daniel Prusa;Two-Dimensional Pattern Matching Against Basic Picture Languages.;Frantisek Mráz, Michael Wehar;209-221;2019;CIAA 2019
Michael Wehar;Two-Dimensional Pattern Matching Against Basic Picture Languages.;Frantisek Mráz, Daniel Prusa;209-221;2019;CIAA 2019
Taylor J. Smith;Decision Problems for Restricted Variants of Two-Dimensional Automata.;Kai Salomaa;222-234;2019;CIAA 2019
Kai Salomaa;Decision Problems for Restricted Variants of Two-Dimensional Automata.;Taylor J. Smith;222-234;2019;CIAA 2019
Yuta Takahashi;Streaming Ranked-Tree-to-String Transducers.;Kazuyuki Asada, Keisuke Nakano;235-247;2019;CIAA 2019
Kazuyuki Asada;Streaming Ranked-Tree-to-String Transducers.;Yuta Takahashi, Keisuke Nakano;235-247;2019;CIAA 2019
Keisuke Nakano;Streaming Ranked-Tree-to-String Transducers.;Yuta Takahashi, Kazuyuki Asada;235-247;2019;CIAA 2019
Darrell R. Raymond;WIA and the Practice of Theory in Computer Science.;nan;1-5;1996;WIA 1996
Morten Biehl;Algorithms for Guided Tree Automata.;Nils Klarlund, Theis Rauhe;6-25;1996;WIA 1996
Nils Klarlund;Algorithms for Guided Tree Automata.;Morten Biehl, Theis Rauhe;6-25;1996;WIA 1996
Theis Rauhe;Algorithms for Guided Tree Automata.;Morten Biehl, Nils Klarlund;6-25;1996;WIA 1996
Romuald Boné;Time Series Forecasting by Finite-State Automata.;Christophe Daguin, Antoine Georgevail, Denis Maurel;26-34;1996;WIA 1996
Christophe Daguin;Time Series Forecasting by Finite-State Automata.;Romuald Boné, Antoine Georgevail, Denis Maurel;26-34;1996;WIA 1996
Antoine Georgevail;Time Series Forecasting by Finite-State Automata.;Romuald Boné, Christophe Daguin, Denis Maurel;26-34;1996;WIA 1996
Denis Maurel;Time Series Forecasting by Finite-State Automata.;Romuald Boné, Christophe Daguin, Antoine Georgevail;26-34;1996;WIA 1996
Max H. Garzon;Dynamical Implementation of Nondeterministic Automata and Concurrent Systems.;Eugene Eberbach;35-49;1996;WIA 1996
Eugene Eberbach;Dynamical Implementation of Nondeterministic Automata and Concurrent Systems.;Max H. Garzon;35-49;1996;WIA 1996
James Glenn;Implementing WS1S via Finite Automata.;William I. Gasarch;50-63;1996;WIA 1996
William I. Gasarch;Implementing WS1S via Finite Automata.;James Glenn;50-63;1996;WIA 1996
J. Howard Johnson;Instruction Computation in Subset Construction.;Derick Wood;64-71;1996;WIA 1996
Derick Wood;Instruction Computation in Subset Construction.;J. Howard Johnson;64-71;1996;WIA 1996
Denis Maurel;Building Automata on Schemata and Acceptability Tables: Application to French Data Adverbials.;nan;72-86;1996;WIA 1996
Gertjan van Noord;FSA Utilities: A Toolbox to Manipulate Finite-State Automata.;nan;87-108;1996;WIA 1996
Jean-Luc Ponty;A New Quadratic Algorithm to Convert a Regular Expression into an Automaton.;Djelloul Ziadi, Jean-Marc Champarnaud;109-119;1996;WIA 1996
Djelloul Ziadi;A New Quadratic Algorithm to Convert a Regular Expression into an Automaton.;Jean-Luc Ponty, Jean-Marc Champarnaud;109-119;1996;WIA 1996
Jean-Marc Champarnaud;A New Quadratic Algorithm to Convert a Regular Expression into an Automaton.;Jean-Luc Ponty, Djelloul Ziadi;109-119;1996;WIA 1996
Bala Ravikumar;Implementing Sequential and Parallel Programs for the Homing Sequence Problem.;X. Xiong;120-131;1996;WIA 1996
X. Xiong;Implementing Sequential and Parallel Programs for the Homing Sequence Problem.;Bala Ravikumar;120-131;1996;WIA 1996
Susan H. Rodger;Integrating Hands-on Work into the Formal Languages Course via Tools and Programming.;nan;132-148;1996;WIA 1996
Kai Salomaa;NFA to DFA Transformation for Finite Languages.;Sheng Yu;149-158;1996;WIA 1996
Sheng Yu;NFA to DFA Transformation for Finite Languages.;Kai Salomaa;149-158;1996;WIA 1996
Barbara Schubert;How to Use Sorting Procedures to Minimize DFA.;nan;159-166;1996;WIA 1996
Bruce W. Watson;FIRE Lite: FAs and REs in C++.;nan;167-188;1996;WIA 1996
David Harel;Synthesizing State-Based Object Systems from LSC Specifications.;Hillel Kugler;1-33;2000;CIAA 2000
Hillel Kugler;Synthesizing State-Based Object Systems from LSC Specifications.;David Harel;1-33;2000;CIAA 2000
Lauri Karttunen;Applications of Finite-State Transducers in Natural Language Processing.;nan;34-46;2000;CIAA 2000
Anne Bergeron;Fast Implementations of Automata Computations.;Sylvie Hamel;47-56;2000;CIAA 2000
Sylvie Hamel;Fast Implementations of Automata Computations.;Anne Bergeron;47-56;2000;CIAA 2000
Anne Brüggemann-Klein;Regularly Extended Two-Way Nondeterministic Tree Automata.;Derick Wood;57-66;2000;CIAA 2000
Derick Wood;Regularly Extended Two-Way Nondeterministic Tree Automata.;Anne Brüggemann-Klein;57-66;2000;CIAA 2000
Pascal Caron;Glushkov Construction for Multiplicities.;Marianne Flouret;67-79;2000;CIAA 2000
Marianne Flouret;Glushkov Construction for Multiplicities.;Pascal Caron;67-79;2000;CIAA 2000
Jean-Marc Champarnaud;Implicit Structures to Implement NFA's from Regular Expressions.;nan;80-93;2000;CIAA 2000
Jean-Marc Champarnaud;New Finite Automaton Constructions Based on Canonical Derivatives.;Djelloul Ziadi;94-104;2000;CIAA 2000
Djelloul Ziadi;New Finite Automaton Constructions Based on Canonical Derivatives.;Jean-Marc Champarnaud;94-104;2000;CIAA 2000
Jan Daciuk;Experiments with Automata Compression.;nan;105-112;2000;CIAA 2000
Frank Drewes;Computing Raster Images from Grid Picture Grammars.;Sigrid Ewert, Renate Klempien-Hinrichs, Hans-Jörg Kreowski;113-121;2000;CIAA 2000
Sigrid Ewert;Computing Raster Images from Grid Picture Grammars.;Frank Drewes, Renate Klempien-Hinrichs, Hans-Jörg Kreowski;113-121;2000;CIAA 2000
Renate Klempien-Hinrichs;Computing Raster Images from Grid Picture Grammars.;Frank Drewes, Sigrid Ewert, Hans-Jörg Kreowski;113-121;2000;CIAA 2000
