Author;Title;Co-Authors;Pagination;Published;Venue
Hans-Jörg Kreowski;Computing Raster Images from Grid Picture Grammars.;Frank Drewes, Sigrid Ewert, Renate Klempien-Hinrichs;113-121;2000;CIAA 2000
Jacques Farré;A Basis for Looping Extensions to Discriminating-Reverse Parsing.;José Fortes Gálvez;122-134;2000;CIAA 2000
José Fortes Gálvez;A Basis for Looping Extensions to Discriminating-Reverse Parsing.;Jacques Farré;122-134;2000;CIAA 2000
Pierre-Cyrille Héam;Automata for Pro-V Topologies.;nan;135-144;2000;CIAA 2000
Oscar H. Ibarra;Reachability and Safety in Queue Systems.;nan;145-156;2000;CIAA 2000
Oscar H. Ibarra;Generalizing the Discrete Timed Automaton.;Jianwen Su;157-169;2000;CIAA 2000
Jianwen Su;Generalizing the Discrete Timed Automaton.;Oscar H. Ibarra;157-169;2000;CIAA 2000
André Kempe;Factorization of Ambiguous Finite-State Transducers.;nan;170-181;2000;CIAA 2000
Nils Klarlund;MONA Implementation Secrets.;Anders Møller, Michael I. Schwartzbach;182-194;2000;CIAA 2000
Anders Møller;MONA Implementation Secrets.;Nils Klarlund, Michael I. Schwartzbach;182-194;2000;CIAA 2000
Michael I. Schwartzbach;MONA Implementation Secrets.;Nils Klarlund, Anders Møller;182-194;2000;CIAA 2000
Vincent Le Maout;Cursors.;nan;195-207;2000;CIAA 2000
Kamal Lodaya;An Automaton Model of User-Controlled Navigation on the Web.;Ramaswamy Ramanujam;208-216;2000;CIAA 2000
Ramaswamy Ramanujam;An Automaton Model of User-Controlled Navigation on the Web.;Kamal Lodaya;208-216;2000;CIAA 2000
Stoyan Mihov;Direct Construction of Minimal Acyclic Subsequential Transducers.;Denis Maurel;217-229;2000;CIAA 2000
Denis Maurel;Direct Construction of Minimal Acyclic Subsequential Transducers.;Stoyan Mihov;217-229;2000;CIAA 2000
Mehryar Mohri;Generic epsilon -Removal Algorithm for Weighted Automata.;nan;230-242;2000;CIAA 2000
Andrei Paun;None;Nicolae Santean, Sheng Yu;243-251;2000;CIAA 2000
Nicolae Santean;None;Andrei Paun, Sheng Yu;243-251;2000;CIAA 2000
Sheng Yu;None;Andrei Paun, Nicolae Santean;243-251;2000;CIAA 2000
Giovanni Pighizzini;Unary Language Concatenation and Its State Complexity.;nan;252-262;2000;CIAA 2000
Dominik Schmitz;Implementation of a Strategy Improvement Algorithm for Finite-State Parity Games.;Jens Vöge;263-271;2000;CIAA 2000
Jens Vöge;Implementation of a Strategy Improvement Algorithm for Finite-State Parity Games.;Dominik Schmitz;263-271;2000;CIAA 2000
Jeffrey O. Shallit;State Complexity and Jacobsthal's Function.;nan;272-278;2000;CIAA 2000
Priti Shankar;A Package for the Implementation of Block Codes as Finite Automata.;K. Sasidharan, Vikas Aggarwal, B. Sundar Rajan;279-292;2000;CIAA 2000
K. Sasidharan;A Package for the Implementation of Block Codes as Finite Automata.;Priti Shankar, Vikas Aggarwal, B. Sundar Rajan;279-292;2000;CIAA 2000
Vikas Aggarwal;A Package for the Implementation of Block Codes as Finite Automata.;Priti Shankar, K. Sasidharan, B. Sundar Rajan;279-292;2000;CIAA 2000
B. Sundar Rajan;A Package for the Implementation of Block Codes as Finite Automata.;Priti Shankar, K. Sasidharan, Vikas Aggarwal;279-292;2000;CIAA 2000
Manuel Vilares Ferro;Regional Least-Cost Error Repair.;Victor M. Darriba, Francisco J. Ribadas;293-301;2000;CIAA 2000
Victor M. Darriba;Regional Least-Cost Error Repair.;Manuel Vilares Ferro, Francisco J. Ribadas;293-301;2000;CIAA 2000
Francisco J. Ribadas;Regional Least-Cost Error Repair.;Manuel Vilares Ferro, Victor M. Darriba;293-301;2000;CIAA 2000
Todd Wareham;The Parameterized Complexity of Intersection and Composition Operations on Sets of Finite-State Automata.;nan;302-310;2000;CIAA 2000
Bruce W. Watson;Directly Constructing Minimal DFAs: Combining Two Algorithms by Brzozowski.;nan;311-317;2000;CIAA 2000
Lynette van Zijl;The MERLin Environment Applied to *-NFAs.;John-Paul Harper, Frank Olivier;318-326;2000;CIAA 2000
John-Paul Harper;The MERLin Environment Applied to *-NFAs.;Lynette van Zijl, Frank Olivier;318-326;2000;CIAA 2000
Frank Olivier;The MERLin Environment Applied to *-NFAs.;Lynette van Zijl, John-Paul Harper;318-326;2000;CIAA 2000
Stephan Diehl;Visual Exploration of Generation Algorithms for Finite Automata on the Web.;Andreas Kerren, Torsten Weller;327-328;2000;CIAA 2000
Andreas Kerren;Visual Exploration of Generation Algorithms for Finite Automata on the Web.;Stephan Diehl, Torsten Weller;327-328;2000;CIAA 2000
Torsten Weller;Visual Exploration of Generation Algorithms for Finite Automata on the Web.;Stephan Diehl, Andreas Kerren;327-328;2000;CIAA 2000
Frank Drewes;TREEBAG.;Renate Klempien-Hinrichs;329-330;2000;CIAA 2000
Renate Klempien-Hinrichs;TREEBAG.;Frank Drewes;329-330;2000;CIAA 2000
Jiri Dvorský;Word Random Access Compression.;Václav Snásel;331-332;2000;CIAA 2000
Václav Snásel;Word Random Access Compression.;Jiri Dvorský;331-332;2000;CIAA 2000
Tamás Gaál;Extended Sequentialization of Transducers.;nan;333-334;2000;CIAA 2000
J. Howard Johnson;Lessons from INR in the Specification of Transductions.;nan;335-336;2000;CIAA 2000
André Kempe;Part-of-Speech Tagging with Two Sequential Transducers.;nan;337-339;2000;CIAA 2000
João José Neto;Solving Complex Problems Efficiently with Adaptive Automata.;nan;340-342;2000;CIAA 2000
Bakhadyr Khoussainov;Decision Problems for Finite Automata over Infinite Algebraic Structures.;Jiamou Liu;3-11;2016;CIAA 2016
Jiamou Liu;Decision Problems for Finite Automata over Infinite Algebraic Structures.;Bakhadyr Khoussainov;3-11;2016;CIAA 2016
Holger Bock Axelsen;The Degree of Irreversibility in Deterministic Finite Automata.;Markus Holzer, Martin Kutrib;15-26;2016;CIAA 2016
Markus Holzer;The Degree of Irreversibility in Deterministic Finite Automata.;Holger Bock Axelsen, Martin Kutrib;15-26;2016;CIAA 2016
Martin Kutrib;The Degree of Irreversibility in Deterministic Finite Automata.;Holger Bock Axelsen, Markus Holzer;15-26;2016;CIAA 2016
Suna Bensch;Deterministic Stack Transducers.;Johanna Björklund, Martin Kutrib;27-38;2016;CIAA 2016
Johanna Björklund;Deterministic Stack Transducers.;Suna Bensch, Martin Kutrib;27-38;2016;CIAA 2016
Martin Kutrib;Deterministic Stack Transducers.;Suna Bensch, Johanna Björklund;27-38;2016;CIAA 2016
Jorge Calvo-Zaragoza;Computing the Expected Edit Distance from a String to a PFA.;Colin de la Higuera, José Oncina;39-50;2016;CIAA 2016
Colin de la Higuera;Computing the Expected Edit Distance from a String to a PFA.;Jorge Calvo-Zaragoza, José Oncina;39-50;2016;CIAA 2016
José Oncina;Computing the Expected Edit Distance from a String to a PFA.;Jorge Calvo-Zaragoza, Colin de la Higuera;39-50;2016;CIAA 2016
Akim Demaille;Derived-Term Automata of Multitape Rational Expressions.;nan;51-63;2016;CIAA 2016
Antonio Di Stasio;Solving Parity Games Using an Automata-Based Algorithm.;Aniello Murano, Giuseppe Perelli, Moshe Y. Vardi;64-76;2016;CIAA 2016
Aniello Murano;Solving Parity Games Using an Automata-Based Algorithm.;Antonio Di Stasio, Giuseppe Perelli, Moshe Y. Vardi;64-76;2016;CIAA 2016
Giuseppe Perelli;Solving Parity Games Using an Automata-Based Algorithm.;Antonio Di Stasio, Aniello Murano, Moshe Y. Vardi;64-76;2016;CIAA 2016
Moshe Y. Vardi;Solving Parity Games Using an Automata-Based Algorithm.;Antonio Di Stasio, Aniello Murano, Giuseppe Perelli;64-76;2016;CIAA 2016
Zoltán Ésik;Ternary Equational Languages.;nan;77-88;2016;CIAA 2016
Henning Fernau;Problems on Finite Automata and the Exponential Time Hypothesis.;Andreas Krebs;89-100;2016;CIAA 2016
Andreas Krebs;Problems on Finite Automata and the Exponential Time Hypothesis.;Henning Fernau;89-100;2016;CIAA 2016
Akio Fujiyoshi;A Practical Algorithm for the Uniform Membership Problem of Labeled Multidigraphs of Tree-Width 2 for Spanning Tree Automata.;nan;101-112;2016;CIAA 2016
Robert Glück;A Practical Simulation Result for Two-Way Pushdown Automata.;nan;113-124;2016;CIAA 2016
Michal Hospodár;Nondeterministic Complexity of Operations on Closed and Ideal Languages.;Galina Jirásková, Peter Mlynárcik;125-137;2016;CIAA 2016
Galina Jirásková;Nondeterministic Complexity of Operations on Closed and Ideal Languages.;Michal Hospodár, Peter Mlynárcik;125-137;2016;CIAA 2016
Peter Mlynárcik;Nondeterministic Complexity of Operations on Closed and Ideal Languages.;Michal Hospodár, Galina Jirásková;125-137;2016;CIAA 2016
Oscar H. Ibarra;On Bounded Semilinear Languages, Counter Machines, and Finite-Index ET0L.;Ian McQuillan;138-149;2016;CIAA 2016
Ian McQuillan;On Bounded Semilinear Languages, Counter Machines, and Finite-Index ET0L.;Oscar H. Ibarra;138-149;2016;CIAA 2016
Jozef Jirásek Jr.;Kuratowski Algebras Generated by Prefix-Free Languages.;Juraj Sebej;150-162;2016;CIAA 2016
Juraj Sebej;Kuratowski Algebras Generated by Prefix-Free Languages.;Jozef Jirásek Jr.;150-162;2016;CIAA 2016
Christos A. Kapoutsis;A Logical Characterization of Small 2NFAs.;Lamana Mulaffer;163-175;2016;CIAA 2016
Lamana Mulaffer;A Logical Characterization of Small 2NFAs.;Christos A. Kapoutsis;163-175;2016;CIAA 2016
Andrzej Kisielewicz;Experiments with Synchronizing Automata.;Jakub Kowalski, Marek Szykula;176-188;2016;CIAA 2016
Jakub Kowalski;Experiments with Synchronizing Automata.;Andrzej Kisielewicz, Marek Szykula;176-188;2016;CIAA 2016
Marek Szykula;Experiments with Synchronizing Automata.;Andrzej Kisielewicz, Jakub Kowalski;176-188;2016;CIAA 2016
Stavros Konstantinidis;Implementation of Code Properties via Transducers.;Casey Meijer, Nelma Moreira, Rogério Reis;189-201;2016;CIAA 2016
Casey Meijer;Implementation of Code Properties via Transducers.;Stavros Konstantinidis, Nelma Moreira, Rogério Reis;189-201;2016;CIAA 2016
Nelma Moreira;Implementation of Code Properties via Transducers.;Stavros Konstantinidis, Casey Meijer, Rogério Reis;189-201;2016;CIAA 2016
Rogério Reis;Implementation of Code Properties via Transducers.;Stavros Konstantinidis, Casey Meijer, Nelma Moreira;189-201;2016;CIAA 2016
Emil Lerner;On Synchronizing Automata and Uniform Distribution.;nan;202-212;2016;CIAA 2016
Aleksandrs Belovs;Looking for Pairs that Hard to Separate: A Quantum Approach.;J. Andres Montoya, Abuzer Yakaryilmaz;213-223;2016;CIAA 2016
J. Andres Montoya;Looking for Pairs that Hard to Separate: A Quantum Approach.;Aleksandrs Belovs, Abuzer Yakaryilmaz;213-223;2016;CIAA 2016
Abuzer Yakaryilmaz;Looking for Pairs that Hard to Separate: A Quantum Approach.;Aleksandrs Belovs, J. Andres Montoya;213-223;2016;CIAA 2016
Timothy Ng;Prefix Distance Between Regular Languages.;nan;224-235;2016;CIAA 2016
Daniel Prusa;Complexity of Sets of Two-Dimensional Patterns.;nan;236-247;2016;CIAA 2016
Shinnosuke Seki;The Complexity of Fixed-Height Patterned Tile Self-assembly.;Andrew Winslow;248-259;2016;CIAA 2016
Andrew Winslow;The Complexity of Fixed-Height Patterned Tile Self-assembly.;Shinnosuke Seki;248-259;2016;CIAA 2016
Martin Sulzmann;Derivative-Based Diagnosis of Regular Expression Ambiguity.;Kenny Zhuo Ming Lu;260-272;2016;CIAA 2016
Kenny Zhuo Ming Lu;Derivative-Based Diagnosis of Regular Expression Ambiguity.;Martin Sulzmann;260-272;2016;CIAA 2016
Markus Teichmann;Regular Approximation of Weighted Linear Nondeleting Context-Free Tree Languages.;nan;273-284;2016;CIAA 2016
Peter Thiemann;Derivatives for Enhanced Regular Expressions.;nan;285-297;2016;CIAA 2016
Qichao Wang;Weighted Restarting Automata as Language Acceptors.;Friedrich Otto;298-309;2016;CIAA 2016
Friedrich Otto;Weighted Restarting Automata as Language Acceptors.;Qichao Wang;298-309;2016;CIAA 2016
Jakub Waszczuk;Enhancing Practical TAG Parsing Efficiency by Capturing Redundancy.;Agata Savary, Yannick Parmentier;310-321;2016;CIAA 2016
Agata Savary;Enhancing Practical TAG Parsing Efficiency by Capturing Redundancy.;Jakub Waszczuk, Yannick Parmentier;310-321;2016;CIAA 2016
Yannick Parmentier;Enhancing Practical TAG Parsing Efficiency by Capturing Redundancy.;Jakub Waszczuk, Agata Savary;310-321;2016;CIAA 2016
Nicolaas Weideman;Analyzing Matching Time Behavior of Backtracking Regular Expression Matchers by Using Ambiguity of NFA.;Brink van der Merwe, Martin Berglund, Bruce W. Watson;322-334;2016;CIAA 2016
Brink van der Merwe;Analyzing Matching Time Behavior of Backtracking Regular Expression Matchers by Using Ambiguity of NFA.;Nicolaas Weideman, Martin Berglund, Bruce W. Watson;322-334;2016;CIAA 2016
Martin Berglund;Analyzing Matching Time Behavior of Backtracking Regular Expression Matchers by Using Ambiguity of NFA.;Nicolaas Weideman, Brink van der Merwe, Bruce W. Watson;322-334;2016;CIAA 2016
Bruce W. Watson;Analyzing Matching Time Behavior of Backtracking Regular Expression Matchers by Using Ambiguity of NFA.;Nicolaas Weideman, Brink van der Merwe, Martin Berglund;322-334;2016;CIAA 2016
Véronique Cortier;Electronic Voting: How Logic Can Help.;nan;xi-xii;2017;CIAA 2017
Kim Guldstrand Larsen;Timed and Untimed Energy Games.;nan;xiii-xvi;2017;CIAA 2017
Damien Pous;CoInductive Automata Algorithms.;nan;xvii-xviii;2017;CIAA 2017
Luca Aceto;On the Complexity of Determinizing Monitors.;Antonis Achilleos, Adrian Francalanza, Anna Ingólfsdóttir, Sævar Örn Kjartansson;1-13;2017;CIAA 2017
Antonis Achilleos;On the Complexity of Determinizing Monitors.;Luca Aceto, Adrian Francalanza, Anna Ingólfsdóttir, Sævar Örn Kjartansson;1-13;2017;CIAA 2017
Adrian Francalanza;On the Complexity of Determinizing Monitors.;Luca Aceto, Antonis Achilleos, Anna Ingólfsdóttir, Sævar Örn Kjartansson;1-13;2017;CIAA 2017
Anna Ingólfsdóttir;On the Complexity of Determinizing Monitors.;Luca Aceto, Antonis Achilleos, Adrian Francalanza, Sævar Örn Kjartansson;1-13;2017;CIAA 2017
Sævar Örn Kjartansson;On the Complexity of Determinizing Monitors.;Luca Aceto, Antonis Achilleos, Adrian Francalanza, Anna Ingólfsdóttir;1-13;2017;CIAA 2017
Martin Berglund;On the Semantics of Atomic Subgroups in Practical Regular Expressions.;Brink van der Merwe, Bruce W. Watson, Nicolaas Weideman;14-26;2017;CIAA 2017
Brink van der Merwe;On the Semantics of Atomic Subgroups in Practical Regular Expressions.;Martin Berglund, Bruce W. Watson, Nicolaas Weideman;14-26;2017;CIAA 2017
Bruce W. Watson;On the Semantics of Atomic Subgroups in Practical Regular Expressions.;Martin Berglund, Brink van der Merwe, Nicolaas Weideman;14-26;2017;CIAA 2017
Nicolaas Weideman;On the Semantics of Atomic Subgroups in Practical Regular Expressions.;Martin Berglund, Brink van der Merwe, Bruce W. Watson;14-26;2017;CIAA 2017
Henrik Björklund;On the Regularity and Learnability of Ordered DAG Languages.;Johanna Björklund, Petter Ericson;27-39;2017;CIAA 2017
Johanna Björklund;On the Regularity and Learnability of Ordered DAG Languages.;Henrik Björklund, Petter Ericson;27-39;2017;CIAA 2017
Petter Ericson;On the Regularity and Learnability of Ordered DAG Languages.;Henrik Björklund, Johanna Björklund;27-39;2017;CIAA 2017
Henning Bordihn;On the Number of Active States in Deterministic and Nondeterministic Finite Automata.;Markus Holzer;40-51;2017;CIAA 2017
Markus Holzer;On the Number of Active States in Deterministic and Nondeterministic Finite Automata.;Henning Bordihn;40-51;2017;CIAA 2017
Janusz A. Brzozowski;Complexity of Proper Prefix-Convex Regular Languages.;Corwin Sinnamon;52-63;2017;CIAA 2017
Corwin Sinnamon;Complexity of Proper Prefix-Convex Regular Languages.;Janusz A. Brzozowski;52-63;2017;CIAA 2017
Claudia Cauli;Equivalence of Probabilistic \mu -Calculus and p-Automata.;Nir Piterman;64-75;2017;CIAA 2017
Nir Piterman;Equivalence of Probabilistic \mu -Calculus and p-Automata.;Claudia Cauli;64-75;2017;CIAA 2017
Robert Ferens;Complexity of Bifix-Free Regular Languages.;Marek Szykula;76-88;2017;CIAA 2017
Marek Szykula;Complexity of Bifix-Free Regular Languages.;Robert Ferens;76-88;2017;CIAA 2017
Henning Fernau;Computational Completeness of Path-Structured Graph-Controlled Insertion-Deletion Systems.;Lakshmanan Kuppusamy, Indhumathi Raman;89-100;2017;CIAA 2017
Lakshmanan Kuppusamy;Computational Completeness of Path-Structured Graph-Controlled Insertion-Deletion Systems.;Henning Fernau, Indhumathi Raman;89-100;2017;CIAA 2017
Indhumathi Raman;Computational Completeness of Path-Structured Graph-Controlled Insertion-Deletion Systems.;Henning Fernau, Lakshmanan Kuppusamy;89-100;2017;CIAA 2017
Nathanaël Fijalkow;Stamina: Stabilisation Monoids in Automata Theory.;Hugo Gimbert, Edon Kelmendi, Denis Kuperberg;101-112;2017;CIAA 2017
Hugo Gimbert;Stamina: Stabilisation Monoids in Automata Theory.;Nathanaël Fijalkow, Edon Kelmendi, Denis Kuperberg;101-112;2017;CIAA 2017
Edon Kelmendi;Stamina: Stabilisation Monoids in Automata Theory.;Nathanaël Fijalkow, Hugo Gimbert, Denis Kuperberg;101-112;2017;CIAA 2017
Denis Kuperberg;Stamina: Stabilisation Monoids in Automata Theory.;Nathanaël Fijalkow, Hugo Gimbert, Edon Kelmendi;101-112;2017;CIAA 2017
Stefan Gerdjikov;A Simple Method for Building Bimachines from Functional Finite-State Transducers.;Stoyan Mihov, Klaus U. Schulz;113-125;2017;CIAA 2017
Stoyan Mihov;A Simple Method for Building Bimachines from Functional Finite-State Transducers.;Stefan Gerdjikov, Klaus U. Schulz;113-125;2017;CIAA 2017
Klaus U. Schulz;A Simple Method for Building Bimachines from Functional Finite-State Transducers.;Stefan Gerdjikov, Stoyan Mihov;113-125;2017;CIAA 2017
Yo-Sub Han;Alignment Distance of Regular Tree Languages.;Sang-Ki Ko;126-137;2017;CIAA 2017
Sang-Ki Ko;Alignment Distance of Regular Tree Languages.;Yo-Sub Han;126-137;2017;CIAA 2017
Michal Hospodár;Nondeterministic Complexity of Operations on Free and Convex Languages.;Galina Jirásková, Peter Mlynárcik;138-150;2017;CIAA 2017
Galina Jirásková;Nondeterministic Complexity of Operations on Free and Convex Languages.;Michal Hospodár, Peter Mlynárcik;138-150;2017;CIAA 2017
Peter Mlynárcik;Nondeterministic Complexity of Operations on Free and Convex Languages.;Michal Hospodár, Galina Jirásková;138-150;2017;CIAA 2017
Martin Kutrib;Transducing Reversibly with Finite State Machines.;Andreas Malcher, Matthias Wendlandt;151-162;2017;CIAA 2017
Andreas Malcher;Transducing Reversibly with Finite State Machines.;Martin Kutrib, Matthias Wendlandt;151-162;2017;CIAA 2017
Matthias Wendlandt;Transducing Reversibly with Finite State Machines.;Martin Kutrib, Andreas Malcher;151-162;2017;CIAA 2017
Louis-Marie Dando;From Hadamard Expressions to Weighted Rotating Automata and Back.;Sylvain Lombardy;163-174;2017;CIAA 2017
Sylvain Lombardy;From Hadamard Expressions to Weighted Rotating Automata and Back.;Louis-Marie Dando;163-174;2017;CIAA 2017
Paolo Massazza;None;nan;175-187;2017;CIAA 2017
Andrew Ryzhikov;Synchronization Problems in Automata Without Non-trivial Cycles.;nan;188-200;2017;CIAA 2017
Marek Szykula;Syntactic Complexity of Bifix-Free Languages.;John Wittnebel;201-212;2017;CIAA 2017
John Wittnebel;Syntactic Complexity of Bifix-Free Languages.;Marek Szykula;201-212;2017;CIAA 2017
Iñaki Alegria;Using Finite State Technology in Natural Language Processing of Basque.;Maxux J. Aranzabe, Nerea Ezeiza, Aitzol Ezeiza, Ruben Urizar;1-12;2001;CIAA 2001
Maxux J. Aranzabe;Using Finite State Technology in Natural Language Processing of Basque.;Iñaki Alegria, Nerea Ezeiza, Aitzol Ezeiza, Ruben Urizar;1-12;2001;CIAA 2001
Nerea Ezeiza;Using Finite State Technology in Natural Language Processing of Basque.;Iñaki Alegria, Maxux J. Aranzabe, Aitzol Ezeiza, Ruben Urizar;1-12;2001;CIAA 2001
Aitzol Ezeiza;Using Finite State Technology in Natural Language Processing of Basque.;Iñaki Alegria, Maxux J. Aranzabe, Nerea Ezeiza, Ruben Urizar;1-12;2001;CIAA 2001
Ruben Urizar;Using Finite State Technology in Natural Language Processing of Basque.;Iñaki Alegria, Maxux J. Aranzabe, Nerea Ezeiza, Aitzol Ezeiza;1-12;2001;CIAA 2001
