Author;Title;Co-Authors;Pagination;Published in
Markku Laine;Word Equations with One Unknown.;Wojciech Plandowski;348-359;2009
Wojciech Plandowski;Word Equations with One Unknown.;Markku Laine;348-359;2009
Tommi Lehtinen;On Equations over Sets of Numbers and Their Limitations.;Alexander Okhotin;360-371;2009
Alexander Okhotin;On Equations over Sets of Numbers and Their Limitations.;Tommi Lehtinen;360-371;2009
Florin Manea;Some Remarks on Superposition Based on Watson-Crick-Like Complementarity.;Victor Mitrana, José M. Sempere;372-383;2009
Victor Mitrana;Some Remarks on Superposition Based on Watson-Crick-Like Complementarity.;Florin Manea, José M. Sempere;372-383;2009
José M. Sempere;Some Remarks on Superposition Based on Watson-Crick-Like Complementarity.;Florin Manea, Victor Mitrana;372-383;2009
Ingmar Meinecke;A Weighted µ-Calculus on Words.;nan;384-395;2009
Fabio Mogavero;Branching-Time Temporal Logics with Minimal Model Quantifiers.;Aniello Murano;396-409;2009
Aniello Murano;Branching-Time Temporal Logics with Minimal Model Quantifiers.;Fabio Mogavero;396-409;2009
Holger Petersen;Simulations by Time-Bounded Counter Machines.;nan;410-418;2009
Karin Quaas;Weighted Timed MSO Logics.;nan;419-430;2009
Antonio Restivo;Balanced Words Having Simple Burrows-Wheeler Transform.;Giovanna Rosone;431-442;2009
Giovanna Rosone;Balanced Words Having Simple Burrows-Wheeler Transform.;Antonio Restivo;431-442;2009
Aleksi Saarela;On the Complexity of Hmelevskii's Theorem and Satisfiability of Three Unknown Equations.;nan;443-453;2009
Oleg V. Kudinov;Definability in the Infix Order on Words.;Victor L. Selivanov;454-465;2009
Victor L. Selivanov;Definability in the Infix Order on Words.;Oleg V. Kudinov;454-465;2009
Arseny M. Shur;Two-Sided Bounds for the Growth Rates of Power-Free Languages.;nan;466-477;2009
Rodrigo de Souza;On the Decidability of the Equivalence for a Certain Class of Transducers.;nan;478-489;2009
Georg Zetzsche;Erasing in Petri Net Languages and Matrix Grammars.;nan;490-501;2009
Rusins Freivalds;Ultrametric Finite Automata and Turing Machines.;nan;1-11;2013
Artur Jez;Recompression: Word Equations and Beyond.;nan;12-26;2013
Raphaël M. Jungers;Joint Spectral Characteristics: A Tale of Three Disciplines.;nan;27-28;2013
Christof Löding;Unambiguous Finite Automata.;nan;29-30;2013
Jean-Éric Pin;An Explicit Formula for the Intersection of Two Polynomials of Regular Languages.;nan;31-45;2013
Marcella Anselmo;Two Dimensional Prefix Codes of Pictures.;Dora Giammarresi, Maria Madonia;46-57;2013
Dora Giammarresi;Two Dimensional Prefix Codes of Pictures.;Marcella Anselmo, Maria Madonia;46-57;2013
Maria Madonia;Two Dimensional Prefix Codes of Pictures.;Marcella Anselmo, Dora Giammarresi;46-57;2013
Mohamed Faouzi Atig;Adjacent Ordered Multi-Pushdown Systems.;K. Narayan Kumar, Prakash Saivasan;58-69;2013
