Name;Title;Co-Authors;Pagintation;Published in;LNCS-link;Abstract
Luisa Herrmann;A Medvedev Characterization of Recognizable Tree Series.;;[<span itemprop="pagination">210-221</span>];[<meta content="2017" itemprop="datePublished"/>]
Michal Hospodár;On the Descriptive Complexity of $$\overline{\varSigma ^*\overline{L}}$$.;Galina Jirásková, Peter Mlynárcik;[<span itemprop="pagination">222-234</span>];[<meta content="2017" itemprop="datePublished"/>]
Galina Jirásková;On the Descriptive Complexity of $$\overline{\varSigma ^*\overline{L}}$$.;Michal Hospodár, Peter Mlynárcik;[<span itemprop="pagination">222-234</span>];[<meta content="2017" itemprop="datePublished"/>]
Peter Mlynárcik;On the Descriptive Complexity of $$\overline{\varSigma ^*\overline{L}}$$.;Michal Hospodár, Galina Jirásková;[<span itemprop="pagination">222-234</span>];[<meta content="2017" itemprop="datePublished"/>]
Oscar H. Ibarra;Variations of Checking Stack Automata: Obtaining Unexpected Decidability Properties.;Ian McQuillan;[<span itemprop="pagination">235-246</span>];[<meta content="2017" itemprop="datePublished"/>]
Ian McQuillan;Variations of Checking Stack Automata: Obtaining Unexpected Decidability Properties.;Oscar H. Ibarra;[<span itemprop="pagination">235-246</span>];[<meta content="2017" itemprop="datePublished"/>]
Michal Kunc;The Generalized Rank of Trace Languages.;Jan Meitner;[<span itemprop="pagination">247-259</span>];[<meta content="2017" itemprop="datePublished"/>]
Jan Meitner;The Generalized Rank of Trace Languages.;Michal Kunc;[<span itemprop="pagination">247-259</span>];[<meta content="2017" itemprop="datePublished"/>]
Kamal Lodaya;Two-Variable First Order Logic with Counting Quantifiers: Complexity Results.;A. V. Sreejith;[<span itemprop="pagination">260-271</span>];[<meta content="2017" itemprop="datePublished"/>]
A. V. Sreejith;Two-Variable First Order Logic with Counting Quantifiers: Complexity Results.;Kamal Lodaya;[<span itemprop="pagination">260-271</span>];[<meta content="2017" itemprop="datePublished"/>]
Frantisek Mráz;Deleting Deterministic Restarting Automata with Two Windows.;Friedrich Otto;[<span itemprop="pagination">272-283</span>];[<meta content="2017" itemprop="datePublished"/>]
Friedrich Otto;Deleting Deterministic Restarting Automata with Two Windows.;Frantisek Mráz;[<span itemprop="pagination">272-283</span>];[<meta content="2017" itemprop="datePublished"/>]
Timothy Ng;Relative Prefix Distance Between Languages.;David Rappaport, Kai Salomaa;[<span itemprop="pagination">284-295</span>];[<meta content="2017" itemprop="datePublished"/>]
David Rappaport;Relative Prefix Distance Between Languages.;Timothy Ng, Kai Salomaa;[<span itemprop="pagination">284-295</span>];[<meta content="2017" itemprop="datePublished"/>]
Kai Salomaa;Relative Prefix Distance Between Languages.;Timothy Ng, David Rappaport;[<span itemprop="pagination">284-295</span>];[<meta content="2017" itemprop="datePublished"/>]
Elena A. Petrova;On the Tree of Binary Cube-Free Words.;Arseny M. Shur;[<span itemprop="pagination">296-307</span>];[<meta content="2017" itemprop="datePublished"/>]
Arseny M. Shur;On the Tree of Binary Cube-Free Words.;Elena A. Petrova;[<span itemprop="pagination">296-307</span>];[<meta content="2017" itemprop="datePublished"/>]
Giovanni Pighizzini;Limited Automata and Unary Languages.;Luca Prigioniero;[<span itemprop="pagination">308-319</span>];[<meta content="2017" itemprop="datePublished"/>]
Luca Prigioniero;Limited Automata and Unary Languages.;Giovanni Pighizzini;[<span itemprop="pagination">308-319</span>];[<meta content="2017" itemprop="datePublished"/>]
Gwénaël Richomme;A Characterization of Infinite LSP Words.;;[<span itemprop="pagination">320-331</span>];[<meta content="2017" itemprop="datePublished"/>]
Alexander A. Rubtsov;On Computational Complexity of Set Automata.;Mikhail N. Vyalyi;[<span itemprop="pagination">332-344</span>];[<meta content="2017" itemprop="datePublished"/>]
Mikhail N. Vyalyi;On Computational Complexity of Set Automata.;Alexander A. Rubtsov;[<span itemprop="pagination">332-344</span>];[<meta content="2017" itemprop="datePublished"/>]
Josef Rukavicka;On the Number of Rich Words.;;[<span itemprop="pagination">345-352</span>];[<meta content="2017" itemprop="datePublished"/>]
Tomoyuki Yamakami;One-Way Bounded-Error Probabilistic Pushdown Automata and Kolmogorov Complexity - (Preliminary Report).;;[<span itemprop="pagination">353-364</span>];[<meta content="2017" itemprop="datePublished"/>]
Hans Zantema;Classifying Non-periodic Sequences by Permutation Transducers.;Wieb Bosma;[<span itemprop="pagination">365-377</span>];[<meta content="2017" itemprop="datePublished"/>]
Wieb Bosma;Classifying Non-periodic Sequences by Permutation Transducers.;Hans Zantema;[<span itemprop="pagination">365-377</span>];[<meta content="2017" itemprop="datePublished"/>]
Jean-Paul Allouche;Morphic Sequences Versus Automatic Sequences.;;[<span itemprop="pagination">3-11</span>];[<meta content="2021" itemprop="datePublished"/>]
Henning Fernau;Parsimonious Computational Completeness.;;[<span itemprop="pagination">12-26</span>];[<meta content="2021" itemprop="datePublished"/>]
Benjamin Steinberg;Pointlike Sets and Separation: A Personal Perspective.;;[<span itemprop="pagination">27-40</span>];[<meta content="2021" itemprop="datePublished"/>]
Elena Barcucci;A Strong Non-overlapping Dyck Code.;Antonio Bernini, Renzo Pinzani;[<span itemprop="pagination">43-53</span>];[<meta content="2021" itemprop="datePublished"/>]
Antonio Bernini;A Strong Non-overlapping Dyck Code.;Elena Barcucci, Renzo Pinzani;[<span itemprop="pagination">43-53</span>];[<meta content="2021" itemprop="datePublished"/>]
Renzo Pinzani;A Strong Non-overlapping Dyck Code.;Elena Barcucci, Antonio Bernini;[<span itemprop="pagination">43-53</span>];[<meta content="2021" itemprop="datePublished"/>]
Raphaël Berthon;Active Learning of Sequential Transducers with Side Information About the Domain.;Adrien Boiret, Guillermo A. Pérez, Jean-François Raskin;[<span itemprop="pagination">54-65</span>];[<meta content="2021" itemprop="datePublished"/>]
Adrien Boiret;Active Learning of Sequential Transducers with Side Information About the Domain.;Raphaël Berthon, Guillermo A. Pérez, Jean-François Raskin;[<span itemprop="pagination">54-65</span>];[<meta content="2021" itemprop="datePublished"/>]
Guillermo A. Pérez;Active Learning of Sequential Transducers with Side Information About the Domain.;Raphaël Berthon, Adrien Boiret, Jean-François Raskin;[<span itemprop="pagination">54-65</span>];[<meta content="2021" itemprop="datePublished"/>]
Jean-François Raskin;Active Learning of Sequential Transducers with Side Information About the Domain.;Raphaël Berthon, Adrien Boiret, Guillermo A. Pérez;[<span itemprop="pagination">54-65</span>];[<meta content="2021" itemprop="datePublished"/>]
Malte Blattmann;Compositions of Constant Weighted Extended Tree Transducers.;Andreas Maletti;[<span itemprop="pagination">66-77</span>];[<meta content="2021" itemprop="datePublished"/>]
Andreas Maletti;Compositions of Constant Weighted Extended Tree Transducers.;Malte Blattmann;[<span itemprop="pagination">66-77</span>];[<meta content="2021" itemprop="datePublished"/>]
